GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,2,107,4,6,1,18,4,4,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,3,9,0,0,2,4,1,2,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,InitializationException,11,5,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ExceptionCollection,146,64,6,4,43,17,15,5,11,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverShim,107,27,14,0,24,6,15,4,8,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseProperties,16,127,3,9,4,29,3,12,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader,53,135,1,9,8,28,2,8,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB,420,1354,29,141,97,342,29,87,3,28
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CorruptDatabaseException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB.PreparedStatementCveDb,5,233,0,0,0,23,1,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoadException,8,5,0,0,4,2,2,1,2,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader.new PrivilegedAction() {...},0,23,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,ConnectionFactory,350,299,27,21,74,112,21,13,1,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,6,18,0,0,1,5,1,4,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,74,100,14,14,10,28,12,13,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,120,161,19,15,10,25,17,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,18,218,18,34,3,44,17,23,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,216,434,37,81,42,120,26,68,6,29
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,81,96,21,11,12,23,20,9,5,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,113,283,23,17,15,70,20,13,2,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,Fields,3,0,0,0,2,0,1,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,312,20,64,0,52,20,38,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,0,199,0,6,0,58,0,30,0,27
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,69,75,6,4,8,17,4,5,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,62,57,14,6,8,17,12,7,2,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,140,25,5,1,36,8,5,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,0,11,0,0,0,4,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.Element,3,82,0,0,1,18,1,17,1,17
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,135,242,31,23,26,42,28,10,3,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler.Element,8,27,0,0,2,7,2,6,2,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler,15,236,4,30,1,50,4,17,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,41,0,0,0,17,0,11,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.AttributeValues,3,0,0,0,1,0,1,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,28,107,0,0,6,32,1,6,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,13,98,0,4,1,27,1,13,1,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler,40,504,4,82,10,112,5,48,1,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersionUtil,3,113,2,22,2,33,3,13,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,ExtractionUtil,604,172,91,21,64,36,57,8,3,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.FilterIterator,8,52,2,8,2,17,3,7,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DateUtil,3,21,0,2,2,2,1,2,1,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,UrlStringUtils,3,187,1,17,2,26,2,12,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DBUtils,31,41,4,6,9,17,5,5,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersion,10,358,8,62,5,85,8,38,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,FileFilterBuilder,9,132,3,13,1,24,2,13,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter,0,16,0,0,0,4,0,3,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Pair,66,50,17,3,14,12,13,5,4,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.exception,InvalidDataException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.exception,UpdateException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.central,CentralSearch,30,246,3,21,7,53,3,12,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.agent,DependencyCheckScanAgent,701,0,38,0,216,0,93,0,74,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,SanitizePackage,3,75,0,4,2,7,1,4,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,NspSearch,137,264,25,14,9,54,17,6,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,Advisory,35,93,3,1,10,40,9,24,7,24
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability,120,229,17,9,25,80,15,42,5,39
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Reference,86,84,25,3,11,16,16,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,6,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Object() {...},3,23,0,0,0,1,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerabilityComparator,0,9,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Evidence,60,175,12,22,17,35,17,18,6,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection,52,441,17,49,15,94,14,40,1,19
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency,74,685,9,33,27,135,18,63,9,51
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability.Source,9,29,0,0,0,3,2,2,2,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftware,89,346,13,63,23,77,16,44,5,17
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Identifier,65,104,19,3,17,27,16,14,5,14
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Confidence,0,58,0,0,0,5,0,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerDependency,52,66,18,10,6,16,13,7,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerException,7,5,0,0,4,2,2,1,2,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerLockParser,15,155,5,9,4,34,5,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,AbstractTokenizingFilter,0,45,0,4,0,12,0,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,LuceneUtils,3,51,1,9,2,15,2,7,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,FieldAnalyzer,0,43,0,0,0,9,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,SearchFieldAnalyzer,0,64,0,2,0,15,0,4,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,UrlTokenizingFilter,15,72,1,9,4,17,1,7,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,AlphaNumericTokenizer,6,15,0,4,2,3,1,4,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,TokenPairConcatenatingFilter,106,99,28,8,15,26,16,9,2,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,DependencySimilarity,5,0,0,0,2,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.Format,0,78,0,0,0,7,0,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,EscapeTool,10,156,0,40,4,41,0,29,0,9
